page,zip,size,year,make,model,trim,option,product,qty,session
product,44130,,2012,BMW,328i,Convertible,M Sport Package,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=ca821b93-832b-450f-a60b-9354a3140e12
product,44321,,2013,Dodge,Challenger,R/T,Standard,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=b9343dcf-b503-4f25-b2f6-2f68374596bd
product,44321,,2012,Dodge,Durango,Crew AWD,,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=d16d8a43-17bc-4c7b-886e-ff0915ad5754
product,44130,,2012,BMW,640i,Convertible,"M Sport Package (19"")",,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=9f7ed223-2431-426b-8255-81a0f0f6ed63
product,44130,,2013,BMW,328i,Convertible,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=ecc75573-07fd-47b9-9f9e-69ab02138b47
product,44321,,2009,Kia,Spectra,EX,,,,uid=EBE348C5-F4A8-28FF-FCA730B8A0781699&ssid=2878d7e7-17f9-495e-a711-baf4905fff44
product,44130,,2012,BMW,640i,Convertible,"Option (19"")",,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=070b51f3-b038-41b0-87a3-6ae7006f2162
product,44130,,2012,BMW,328i,Convertible,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=d232fa87-a71b-4ea1-a9a4-3a0cc6789263
product,44321,,2012,Dodge,Challenger,R/T Plus,Standard,,,uid=61AE878B-F1C9-452C-9796C5DEC138D342&ssid=cefcaadf-b08c-4a24-8e4c-a921ebf74d3f
product,44130,,2012,BMW,328i,Sedan Base,Standard,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=3c589a04-5af3-47f6-b9e4-7a7c9e579f00
product,44321,,2012,Kia,Sorento,LX,,,,uid=EBE348C5-F4A8-28FF-FCA730B8A0781699&ssid=c70a6644-84f4-406d-a300-146fa04d1356
product,44305,,2003,Mercedes-Benz,E320,Sedan,Sport Package,,,uid=5E276E14-ABFE-3B28-66D3F9E68B8C3D0B&ssid=7765256e-13c9-4498-b4f3-2cc65b1d6f3b
product,44130,,2003,BMW,525i,Sedan,Sport Package,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=3873053f-2cfa-4dec-a1e0-ce54f8fb7349
product,44130,,2007,BMW,525xi,Sedan,Sport Package,,,uid=399811AC-D54E-0492-791BE37E10B2FEA6&ssid=0ca3cce0-8d85-4575-9b01-a26dcea6d560
product,44223,,2012,Audi,Q5,2.0T Premium,,,,uid=3C7C80D1-EBD3-8EE0-97924D011FF9B062&ssid=c549b5f5-7284-4c22-8b26-82fe91da832f
product,44305,,2012,Mercedes-Benz,G550,SUV,,,,uid=5E276E14-ABFE-3B28-66D3F9E68B8C3D0B&ssid=637c9147-d5ff-4dbd-935d-3261c1752e91
product,76107,,2012,BMW,328i,Convertible,M Sport Package,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=c12242f3-0cf4-448b-aaac-d6786c4185de
product,76107,,2013,Dodge,Challenger,R/T,Standard,,,uid=99E3A03D-AC58-4441-C5AC01A8A68F0849&ssid=f7f1c451-f076-4e2b-bdbd-09c7509f4af2
product,76107,,2012,Dodge,Durango,Crew AWD,,,,uid=99E3A03D-AC58-4441-C5AC01A8A68F0849&ssid=6d501c1c-51a5-46f2-89c8-45ffbe9b989d
product,76107,,2012,BMW,640i,Convertible,"M Sport Package (19"")",,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=dcc74754-7d4e-426f-bb8b-894de273a5b4
product,76107,,2013,BMW,328i,Convertible,Standard,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=80a1ca7f-7a59-430d-9cac-d5ffc9bfa9e2
product,76021,,2004,Mercedes-Benz,ML350,Base,,,,uid=40030C3B-B0BC-A8EE-66D92B5007D0D7EB&ssid=a5692422-e35f-4e32-ba7a-6e1726bd4ab5
product,75062,,2009,Kia,Spectra,EX,,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=26787393-99e7-42ce-89ce-b9b28f478bef
product,76107,,2012,BMW,640i,Convertible,"Option (19"")",,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=4dbf53b4-b813-40a1-be1d-30b29f5e9331
product,76107,,2012,BMW,328i,Convertible,Standard,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=65105c89-b2d4-417f-9254-0a81c53512f4
product,76107,,2012,Dodge,Challenger,R/T Plus,Standard,,,uid=99E3A03D-AC58-4441-C5AC01A8A68F0849&ssid=dda44e61-66f5-41bb-8ba0-6c45d401df54
product,76107,,2012,BMW,328i,Sedan Base,Standard,,,uid=76FA3CF6-C1D8-D7FA-82488F3A724B7384&ssid=e862986d-63f6-40a7-8fdd-6e6decb7fae9
product,75062,,2012,Kia,Sorento,LX,,,,uid=40030C3B-B0BC-A8EE-66D92B5007D0D7EB&ssid=6feeda25-9224-45f2-8f39-3b15e1a6c28d
