ServiceType,Width,Ratio,Diameter,Descriptor,Make,runflatQuestion?,InStaggered?,weSell?
,31X,10.5,15,,Audi,no,no,no
,225,40,18,92W,BMW,no,yes,yes
,225,45,17,91W,BMW,no,yes,yes
,195,60,15,88R,Kia,no,no,yes
,235,65,17,104H,BMW,no,no,yes
,235,55,17,99H,BMW,no,no,yes
,225,55,17,97H,BMW,no,no,yes
,225,50,17,94V,BMW,no,no,yes
,235,55,17,99H,Audi,no,no,yes
,205,50,17,93V,Audi,no,no,no
P,195,55,16,87V,Kia,no,no,no
P,215,70,16,99S,Kia,no,no,no
P,205,50,16,87V,Kia,no,no,yes
,225,50,17,94W,BMW,no,no,yes
,225,55,16,95V,BMW,no,no,yes
P,215,70,16,99S,Audi,no,no,no
P,225,60,16,97S,Audi,no,no,yes
,245,45,18,100V,BMW,no,no,yes
,235,50,18,101V,BMW,no,no,yes
,255,45,18,99Y,Kia,no,yes,no
,245,45,19,98Y,Kia,no,yes,no
,285,45,19,107V,Audi,no,yes,no
,255,50,19,103V,Audi,no,yes,no
,225,40,18,88W,BMW,no,yes,yes
,225,45,17,91V,BMW,no,yes,yes
,275,40,18,99W,Kia,no,yes,no
,245,45,18,96W,Audi,no,no,yes
P,295,40,20,110V,Audi,no,yes,no
,275,35,18,95Y,Dodge,yes,,yes
,225,55,17,97H,Audi,yes,,
